draw_date,n1,n2,n3,n4,n5,n6,sp
2026-03-02,7,9,11,23,25,29,5
2026-03-05,7,11,14,32,36,38,2
2026-03-09,1,11,14,17,29,32,8
2026-03-12,4,9,15,25,27,31,8
2026-03-16,14,26,28,31,32,34,1
