model,score_band,count,avg_hits,hit_ge_2,hit_ge_3
hybrid_v1,"(84.59899999999999, 87.675]",1,0.0,0.0,0.0
hybrid_v1,"(87.675, 89.4]",1,1.0,0.0,0.0
hybrid_v1,"(89.4, 90.7]",1,0.0,0.0,0.0
hybrid_v1,"(90.7, 92.5]",1,4.0,1.0,1.0
