predict_date,target_draw_date,lottery,batch_id,model,group_id,rank,score,pred_main,pred_special,draw_main,draw_special,main_hit_count,main_hit_numbers,special_hit,prize_tier,is_verified
2026-03-20,2026-03-24,649,20260320_649_v1,model_649_a,1,1,93.2,03 11 18 25 37 41,09,,,,,,,0
2026-03-20,2026-03-24,649,20260320_649_v1,model_649_a,2,2,88.4,05 12 20 28 33 45,17,,,,,,,0
