draw_date,n1,n2,n3,n4,n5,n6,sp
2026-03-03,5,26,27,35,45,46,37
2026-03-06,9,11,12,14,23,25,42
2026-03-10,5,11,29,37,43,47,10
2026-03-13,5,12,13,38,47,48,3
2026-03-17,2,6,10,22,40,45,17
