draw_date,n1,n2,n3,n4,n5
2026-03-13,2,5,11,12,15
2026-03-14,8,10,18,20,34
2026-03-16,17,19,21,29,34
2026-03-17,11,13,19,22,27
2026-03-18,21,22,31,32,35
