show_order,n1,n2,n3,n4,n5
latest_value,21,22,31,32,35
common_1,1,4,18,28,38
common_2,3,6,17,29,37
common_3,6,17,20,31,39
common_4,7,8,11,26,36
common_5,5,,,,34
weight_only_1,,16,29,32,
freq_only_1,,7,23,25,
