draw_date,draw_no,n1,n2,n3,n4,n5,source
2007-06-13,96000118.0,1,2,3,20,25,pilio
2007-06-14,96000119.0,6,10,12,26,39,pilio
2007-06-15,96000120.0,2,12,23,25,27,pilio
2007-06-18,96000121.0,2,3,5,12,16,pilio
2007-06-19,96000122.0,1,6,8,10,28,pilio
2007-06-20,96000123.0,7,11,12,23,38,pilio
2007-06-21,96000124.0,18,19,28,35,39,pilio
2007-06-22,96000125.0,9,11,20,22,25,pilio
2007-06-25,96000126.0,20,22,23,24,34,pilio
2007-06-26,96000127.0,1,4,15,25,33,pilio
2007-06-27,96000128.0,3,6,14,20,21,pilio
2007-06-28,96000129.0,1,19,22,35,36,pilio
2007-06-29,96000130.0,25,31,33,34,37,pilio
2007-07-02,96000131.0,3,13,21,28,32,pilio
2007-07-03,96000132.0,15,17,23,25,38,pilio
2007-07-04,96000133.0,10,17,18,19,29,pilio
2007-07-05,96000134.0,1,2,11,23,37,pilio
2007-07-06,96000135.0,6,31,34,35,39,pilio
2007-07-09,96000136.0,8,12,24,34,35,pilio
2007-07-10,96000137.0,1,8,12,19,29,pilio
2007-07-11,96000138.0,5,14,19,20,29,pilio
2007-07-12,96000139.0,8,13,21,27,32,pilio
2007-07-13,96000140.0,1,3,20,26,31,pilio
2007-07-16,96000141.0,15,16,22,35,39,pilio
2007-07-17,96000142.0,5,17,23,27,30,pilio
2007-07-18,96000143.0,3,21,24,33,34,pilio
2007-07-19,96000144.0,1,6,19,24,37,pilio
2007-07-20,96000145.0,17,25,34,35,38,pilio
2007-07-23,96000146.0,3,11,15,20,36,pilio
2007-07-24,96000147.0,5,12,19,28,34,pilio
2007-07-25,96000148.0,1,9,10,19,21,pilio
2007-07-26,96000149.0,7,20,24,33,34,pilio
2007-07-27,96000150.0,8,11,12,18,21,pilio
2007-07-30,96000151.0,4,8,12,15,20,pilio
2007-07-31,96000152.0,7,14,17,37,39,pilio
2007-08-01,96000153.0,4,9,28,32,36,pilio
2007-08-02,96000154.0,9,15,21,35,39,pilio
2007-08-03,96000155.0,4,8,12,13,32,pilio
2007-08-06,96000156.0,2,8,13,33,36,pilio
2007-08-07,96000157.0,9,10,23,31,36,pilio
2007-08-08,96000158.0,7,11,12,27,29,pilio
2007-08-09,96000159.0,2,9,22,24,38,pilio
2007-08-10,96000160.0,13,16,17,26,33,pilio
2007-08-13,96000161.0,1,15,24,29,31,pilio
2007-08-14,96000162.0,4,15,25,26,36,pilio
2007-08-15,96000163.0,5,12,28,30,32,pilio
2007-08-16,96000164.0,7,14,29,30,35,pilio
2007-08-17,96000165.0,5,16,23,30,35,pilio
2007-08-20,96000166.0,4,17,23,26,28,pilio
2007-08-21,96000167.0,1,7,19,26,29,pilio
2007-08-22,96000168.0,3,17,22,31,34,pilio
2007-08-23,96000169.0,4,7,16,20,28,pilio
2007-08-24,96000170.0,2,7,12,16,39,pilio
2007-08-27,96000171.0,10,12,19,23,36,pilio
2007-08-28,96000172.0,4,7,14,29,36,pilio
2007-08-29,96000173.0,15,18,25,32,34,pilio
2007-08-30,96000174.0,7,14,25,28,37,pilio
2007-08-31,96000175.0,14,20,22,27,29,pilio
2007-09-03,96000176.0,12,18,24,27,33,pilio
2007-09-04,96000177.0,5,7,18,24,35,pilio
2007-09-05,96000178.0,1,28,31,34,38,pilio
2007-09-06,96000179.0,8,19,28,31,33,pilio
2007-09-07,96000180.0,2,19,23,30,37,pilio
2007-09-10,96000181.0,13,19,28,32,37,pilio
2007-09-11,96000182.0,4,21,27,35,38,pilio
